"S","I","R","D","H","beds","ISO"
"8455150.0","21652.0","7298.0","0.0","0.0","19089.225","CH"
"8437234.071293358","36964.98902856657","9010.763297383171","812.0881903420163","7392.997805713314","19089.225","CH"
"8406761.776870143","62997.3540269122","13184.296956766615","945.2860730882963","12599.470805382442","19089.225","CH"
"8355159.537825696","107044.11961461976","20166.758075269063","1231.7922422093247","21408.823922923955","19089.225","CH"
"8268420.134224213","180977.58537372583","31435.98337656201","2000.148512752026","36195.51707474517","19089.225","CH"
"8124415.382787864","303422.3008214969","50408.81504650765","3293.750672066503","60684.46016429938","19089.225","CH"
"7890186.74961527","501752.92443323124","81999.06346006531","5447.631245718159","100350.58488664625","19089.225","CH"
"7521589.119553867","811642.42488029","133662.21752068854","8970.119022578836","162328.484976058","19089.225","CH"
"6970567.865805648","1269303.795920116","215818.91430407114","14571.711985082096","253860.7591840232","19089.225","CH"
"6206642.375798049","1890789.8249470247","341165.6399670785","23118.07964392351","378157.96498940495","19089.225","CH"
"5250308.860419576","2641786.1672291704","521862.3522918471","35438.31002970319","528357.2334458341","19089.225","CH"
"4192985.6409108248","3423163.11058499","764695.0753064299","51995.086598879265","684632.6221169981","19089.225","CH"
"3169645.1255516894","4103164.7016442516","1066833.3286903184","72595.42205687167","820632.9403288504","19089.225","CH"
"2294453.908096924","4581844.344663648","1415763.5141934461","96386.11652299397","916368.8689327296","19089.225","CH"
"1616859.6617577174","4829936.897609494","1793725.0043796012","122156.2181265955","965987.3795218988","19089.225","CH"
"1127318.8641803165","4876926.138383988","2183170.3743661596","148709.31153476986","975385.2276767977","19089.225","CH"
"787822.9222285119","4776716.821721162","2570111.001947035","175091.6270516477","955343.3643442324","19089.225","CH"
"556781.4251799424","4581825.701639876","2944931.705021307","200647.584079439","916365.1403279752","19089.225","CH"
"400101.71366698685","4333000.1175495535","3301776.3651521904","224977.90181563562","866600.0235099108","19089.225","CH"
"293181.9941287647","4058378.5243742317","3637532.7203401094","247870.38057844833","811675.7048748464","19089.225","CH"
"219331.41654507807","3776108.2163934694","3950919.0996368253","269237.6337123154","755221.6432786939","19089.225","CH"
"167537.6782538539","3497346.8212822457","4241807.617030981","289070.94171646226","699469.3642564492","19089.225","CH"
"130600.27744007096","3228650.2245335355","4510765.534885975","307408.981570212","645730.0449067071","19089.225","CH"
"103802.40987803233","2973638.2780620437","4758758.171235484","324317.57041222363","594727.6556124088","19089.225","CH"
"84029.10713285084","2734090.169284756","4986961.013375255","339876.85510357184","546818.0338569512","19089.225","CH"
"69199.16469744706","2510645.553609776","5196642.624512397","354173.32859019504","502129.1107219552","19089.225","CH"
"57903.13875995032","2303248.4349119687","5389092.591791463","367294.9172683133","460649.68698239373","19089.225","CH"
"49172.68765274246","2111427.356013471","5565577.938196489","379328.0090686557","422285.47120269417","19089.225","CH"
"42332.721154701285","1934472.3618130924","5727317.503611098","390355.70671056083","386894.4723626185","19089.225","CH"
"36905.72589029396","1771546.882742012","5875467.681026328","400456.85517069","354309.3765484024","19089.225","CH"
"32549.141214596202","1621758.4107372295","6011115.330905151","409705.55857151886","324351.6821474459","19089.225","CH"
"29013.853785321382","1484202.9137517568","6135275.2211901285","418171.0056364036","296840.58275035134","19089.225","CH"
"26116.331479240496","1357992.3953760935","6248890.296990062","425917.4880773082","271598.4790752187","19089.225","CH"
"23719.670136619727","1242271.5668170585","6352833.688103519","433004.53747140744","248454.3133634117","19089.225","CH"
"21720.53613894488","1136227.4515963285","6447911.747415716","439487.13242451166","227245.49031926572","19089.225","CH"
"20040.057738155658","1039094.392288333","6534867.660599448","445415.9446870387","207818.8784576666","19089.225","CH"
"18617.393545858347","950156.0704670689","6614385.32829138","450837.60384785256","190031.2140934138","19089.225","CH"
"17405.13815180107","868745.5999434256","6687093.327098959","455794.9674029146","173749.11998868512","19089.225","CH"
"16366.003212248715","794244.3960140866","6753568.825303583","460327.3877350481","158848.87920281733","19089.225","CH"
"15470.394119382136","726080.2891137911","6814341.375377566","464470.9706946377","145216.05782275822","19089.225","CH"
"14694.622437745182","663725.1962208988","6869896.5362031525","468258.8225691095","132745.03924417976","19089.225","CH"
"14019.57439671044","606692.5597928443","6920679.298535949","471721.28363725496","121338.51195856888","19089.225","CH"
"13429.709827875955","554534.6942590185","6967097.30102629","474886.14744341467","110906.93885180372","19089.225","CH"
"12912.30280328676","506840.13218545157","7009523.833832666","477778.86558930407","101368.02643709032","19089.225","CH"
"12456.860775205874","463231.03085923934","7048300.631984444","480422.73819056153","92646.20617184788","19089.225","CH"
"12054.676664894596","423360.6778848354","7083740.464618994","482839.0904156444","84672.13557696709","19089.225","CH"
"11698.48080637791","386911.1185164528","7116129.529218664","485047.4357292584","77382.22370329055","19089.225","CH"
"11382.168448417382","353590.9160708249","7145729.66224582","487065.6266174737","70718.18321416498","19089.225","CH"
"11100.584946395003","323133.05179456976","7172780.376290703","488909.99348417035","64626.61035891395","19089.225","CH"
"10849.355358266532","295292.96797058807","7197500.73209336","490595.4722888971","59058.593594117614","19089.225","CH"
"10624.748244153856","269846.7438724219","7220091.063560168","492135.72216163395","53969.34877448439","19089.225","CH"
"10423.566276182417","246589.4076156332","7240734.559597957","493543.23325511976","49317.88152312664","19089.225","CH"
"10243.057794175373","225333.37378750055","7259598.716830881","494829.42579372827","45066.67475750011","19089.225","CH"
"10080.84490879998","205907.00119483672","7276836.6720515555","496004.74092241056","41181.40023896735","19089.225","CH"
"9934.86473618378","188153.2634118295","7292588.423852504","497078.723999748","37630.6526823659","19089.225","CH"
"9803.321114166365","171928.5248538751","7306981.95217088","498060.10093054606","34385.70497077502","19089.225","CH"
"9684.64473062225","157101.4151817419","7320134.243899876","498956.84809388657","31420.28303634838","19089.225","CH"
"9577.460038275256","143551.7950426021","7332152.232151582","499776.25638377585","28710.359008520423","19089.225","CH"
"9480.55767215714","131169.8064355945","7343133.656207933","500524.9898421634","26233.961287118902","19089.225","CH"
"9392.871350433816","119855.00132093369","7353167.8486719495","501209.1393283465","23971.00026418674","19089.225","CH"
"9313.458445272136","109515.54244927411","7362336.455835552","501834.27163495583","21903.108489854825","19089.225","CH"
"9241.483571604864","100067.47075790503","7370714.096812786","502405.4744288581","20013.494151581006","19089.225","CH"
"9176.204667767795","91434.03400472953","7378611.508978523","502806.1261744969","18286.806800945906","19089.225","CH"
"9116.961146943146","83545.07199868328","7386082.822173782","503044.57234030304","16709.014399736658","19089.225","CH"
"9063.163763644981","76336.45315214609","7392909.493429829","503262.44482719805","15267.29063042922","19089.225","CH"
